comuMerged,development / aka,units,type,agent,agent address,website,source,zip,combinedPhone
0102,Walter J Buzby Homes,122.0,family,Buzby Homes,"227 N Vermont Av, Atlantic City 08401",,PHA,8401.0,(609) 345-6280
0103,Brigantine housing rehab,8.0,,Brigantine City,1417 W Brigantine Av 08203,,MtL,8203.0,(609) 641-1166
0103,Brigantine market to affordable program,5.0,family,Brigantine City,1417 W Stafford Township Av 08050,,MtL,8203.0,(609) 641-1166
0104,Buena Housing Authority,,,Buena  Housing Authority,,Housing Authority of the Borough of Buena (buenaha.org),PHA,8341.0,(856) 697-4852
0104,Buena Borough housing rehab,15.0,,Bunea Borough ,"616 Central Av, Minotola 08341",Borough of Buena (buenaboro.org),MtL,8341.0,(856) 697-0407
0104,Buena Gardens Senior Apts,78.0,age,Vanguard Realty Group,"923 Haddonfield Rd, ste 300, Cherry Hill 08002",,HMFA,8341.0,(856) 697-3074
0104,Buena group home / Zion Inc,3.0,special,,,,MtL,,(856) 507-1744
0104,"Buena Terrace 1, 2, & 4",70.0,age,Lower County Property Mgt,"439 Chruch Rd, Sicklerville 08081",,USDA,8341.0,(856) 697-8888
0104,Elwyn group home,4.0,special,Elwyn / Training School at Vineland,"1667 E Landis Av, Vineland 08361",,MtL,,(856) 794-5300
0104,Parkview Gardens / Daniel Muccio,60.0,age,Buena  Housing Authority,"600 Central Av, Minotola 08341",Housing Authority of the Borough of Buena (buenaha.org),PHA,8341.0,(856) 697-4852
0104,Vineland Development Center 1 & 2,8.0,special,Vineland Development Center,,,MtL,8230.0,(856) 696-1661
0107,Career Opportunity Development 1 & 2 group homes,9.0,special,Career Opportunity Development Inc,901 Atlantic Av; Egg Harbor City 08215,"Nonprofit | Career Opportunity Development, Inc. | Egg Harbor City (njcodi.org)",MtL,8215.0,(609) 965-6871
0107,Egg Harbor City downtown housing rehab,30.0,,Egg Harbor City,"500 London Av, Egg Harbor City 08215",Egg Harbor City,MtL,8215.0,(609) 965-7534
0107,Harbor City Apts,69.0,family,,,,HUD,8215.0,(609) 965-3445
0107,Liverpool Estates,18.0,age,Lower County Property Mgt,"439 Chruch Rd, Sicklerville 08081",,USDA,8215.0,(609) 965-4377
0107,Philadelphia Village Apts,101.0,family,,,,HUD,8215.0,(609) 965-6518
0107,Rittenberg Manor,100.0,age,Conifer Realty,"20000 Horizon Way, ste 180, Mount Laurel 08054",Rittenberg Manor - Conifer Realty LLC (coniferllc.com),HMFA,8215.0,(609) 798-0072
0108,Atlantic County ARC group homes 1-4,15.0,special,Atlantic County ARC,"6550 Delilah Rd, Egg Harbor Twp, 08234",The Arc of Atlantic County | Serving People with Intellectual and Developmental Disabilities (thearcatlantic.org),MtL,,(609) 485-0800
0108,Atrium Apts at Egg Harbor,84.0,family,L & S Residential Mgt,"108 Straube Center Blvd, ste 1-20, Pennington 08534",Atrium Apartrments - Home (atriumeggharbor.com),HMFA,8234.0,(609) 645-1000
0108,Caring Inc special needs housing 1-11,19.0,special,Caring Inc,"407 W Delilah Rd, Pleasantville 08232",Home (caringinc.net),MtL,8215.0,(609) 484-7050
0108,Egg Harbor Housing project / CHT Vision Inc,10.0,special,Atlantic County ARC,"6550 Delliah Rd, ste 101, Egg Harbor Twp 08234",The Arc of Atlantic County | Serving People with Intellectual and Developmental Disabilities (thearcatlantic.org),HUD,8215.0,(609) 485-0800
0108,Egg Harbor Township  family apts,76.0,family,Michaels Organization / Interstate Realty Mgt,"3 E Stow Rd, ste 100, Marlton 08053",Michaels Management (michaelscommunities.com),HUD,8234.0,(609) 415-2419
0108,Egg Harbor Township group home,3.0,special,Collaborative Support Programs of NJ,"11 Spring St, Freehold  08977",CSPNJ,HUD,8216.0,(732) 780-1175
0108,Egg Harbor Township housing rehab,65.0,,Egg Harbor Township,"3515 Bargaintown Rd, Egg Harbor Twp 08234",,MtL,,(609) 926-4000
0108,Mey House assisted living,47.0,special,,,,MtL,,(609) 926-5891
0108,Penny Point Park Apts,153.0,family,Vitus Group Inc,"1700 7th Av, ste 7000, Seattle, WA 98101",,tax credit,8234.0,(609) 647-7469
0111,"Aloe Village 1, 2, 3, & 4",152.0,age,Lower County Property Mgt,"439 Chruch Rd, Sicklerville 08081",,USDA,8215.0,(609) 965-4377
0111,Atlantic County ARC group home,8.0,special,Atlantic County ARC,"6550 Delliah Rd, ste 101, Egg Harbor Twp 08234",The Arc of Atlantic County | Serving People with Intellectual and Developmental Disabilities (thearcatlantic.org),HUD,8205.0,(609) 485-0800
0111,"Bayview Cottage assisted living 1, 2, & 3",17.0,special,,,,MtL,,(609) 748-8217
0111,Career Opportunity Development group homes 1 &2,8.0,special,Career Opportunity Development Inc,901 Atlantic Av; Egg Harbor City 08215,"Nonprofit | Career Opportunity Development, Inc. | Egg Harbor City (njcodi.org)",MtL,,(609) 965-6871
0111,Caring Inc group homes,4.0,special,Caring Inc,"407 W Delilah Rd, Pleasantville 08232",Home (caringinc.net),MtL,,(609) 485-7050
0111,Collaborative Support Program group home,3.0,special,Collaborative Support Programs of NJ,"11 Spring St, Freehold 07728",CSPNJ,MtL,,(732) 780-1175
0111,Community Options Inc group home,3.0,special,Community Options Inc,"16 Farber Rd, Princeton 08540","Community Options, Inc. (comop.org)",MtL,,(609) 951-9900
0111,Countryside Meadows / Presbyterian Homes,83.0,age,Springpoint Senior Living / Presbyterian Homes & Services,"4814 Outlook Dr, ste 201, Wall 07753",Affordable Housing Communities | Springpoint Senior Living (springpointsl.org),HUD,8215.0,(609) 652-9100
0111,Delta group home,4.0,special,Delta Community Supports Inc,"1130 Rte 202 S, bldg C1, Raritan 08869 ",Contact Us - Deltaweb,MtL,,(908) 707-8844
0111,Galloway housing rehab,29.0,,Galloway Township,"300 Jimmie Leeds Rd, Galloway 08205",Galloway Township Municipal Government - Home (gtnj.org),MtL,,(609) 652-3700
0111,Habitat for Humanity,3.0,family,Atlantic County Habitat for Humanity,"7117 Ventor Av, Ventnor City 08406",Habitat for Humanity,MtL,,(609) 487-9472
0111,Hansen House for men,10.0,special,,,,MtL,,(609) 965-3699
0111,Hansen House for women,10.0,special,,,,MtL,,(609) 965-6710
0111,Heritage Village at Galloway,100.0,age,Community Investment Strategies,"1970 Brunswick Av, ste 100, Lawrenceville 08648",Heritage Village at Galloway (ciscommunities.com),tax credit,8215.0,(609) 965-1685
0111,Seashore Gardens Living Center assisted living,58.0,age,,,,HMFA,8202.0,(609) 404-4848
0111,Society Hill at Galloway 1 & 2,57.0,family,,,,MtL,,(609) 652-5373
0112,Atlantic County ARC group homes (1-15),24.0,special,Atlantic County ARC,"6550 Delilah Rd, Egg Harbor Twp, 08234",The Arc of Atlantic County | Serving People with Intellectual and Developmental Disabilities (thearcatlantic.org),MtL,8330.0,(609) 485-0800
0112,Career Opportunity Development group homes 1-4,6.0,special,Career Opportunity Development Inc,901 Atlantic Av; Egg Harbor City 08215,"Nonprofit | Career Opportunity Development, Inc. | Egg Harbor City (njcodi.org)",MtL,8330.0,(609) 965-6871
0112,Caring group home (2007)                      ,8.0,special,Caring Inc,"407 W Delilah Rd, Pleasantville 08232",Home (caringinc.net),HUD,8330.0,(609) 484-7050
0112,Hamilton housing rehab program,24.0,,Hamilton Township,"6101 13th St, Mays Landing 08330",Hamilton Township - Home (townshipofhamilton.com),MtL,8330.0,(609) 625-1511
0112,Hardings Run supervised apartments,4.0,special,Atlantic County ARC,"6550 Delliah Rd, ste 101, Egg Harbor Twp 08234",The Arc of Atlantic County | Serving People with Intellectual and Developmental Disabilities (thearcatlantic.org),HUD,8330.0,(609) 485-0800
0112,Lenape Landing Apts,36.0,family,Wilmar Property Mgt,"PO Box 1512, Laurel Springs 08021",Wilmar Property Management Company - Home,USDA,8330.0,(856) 627-4914
0112,Pine Grove at Hamilton,99.0,family,Conifer Realty ,"20000 Horizon Way, ste 180, Mount Laurel 08054",Pine Grove at Hamilton - Conifer Realty LLC (coniferllc.com),tax credit,8330.0,(609) 829-3016
0112,Summersweet Village supervised apt,6.0,special,Hamilton Township,"6101 13th St, Mays Landing 08330",Hamilton Township - Home (townshipofhamilton.com),MtL,8330.0,(609) 625-1511
0112,Village Housing Inc group homes,6.0,special,Atlantic County ARC,"6550 Delliah Rd, ste 101, Egg Harbor Twp 08234",The Arc of Atlantic County | Serving People with Intellectual and Developmental Disabilities (thearcatlantic.org),HUD,8330.0,(609) 485-0800
0113,Hammonton special needs housing,6.0,special,Hammonton Town,"100 Central Av, Hammonton 08037","Town of Hammonton – Hammonton, New Jersey",MtL,8037.0,(609) 567-4300
0113,Main Road Apts,8.0,family,"Community Grants, Planning & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,8037.0,(609) 664-2769
0113,Plymouth Place Apts,128.0,family,,,"Plymouth Place Apartments - Hammonton, NJ 08037 (apartmentguide.com)",HMFA,8037.0,(609) 567-3900
0113,Silver Terrace / Pental,34.0,age,Altman Mgt Co LLC,"240 New York Dr, ste 1, Ft Washington, PA 19304","Contact Us | Altman Management Company | 240 New York Drive, Suite 1, Fort Washington, PA 19034 (altmanco.com)",USDA,8037.0,(609) 567-7100
0114,Atlantic City Improvement Authority housing rehab ,2.0,,Linwood City,"400 Poplar Av, Linwood 08221","The City of Linwood, New Jersey (linwoodcity.org)",MtL,8221.0,(609) 926-7993
0114,Delta group home,3.0,special,Delta Community Supports Inc,"1130 Rte 202 S, bldg C1, Raritan 08869 ",Contact Us - Deltaweb,MtL,8221.0,(609) 909-3780
0116,Margate Terrace Apts,74.0,age,Community Realty Mgt,"36 S Main St, Pleasantville 08232",,HUD,8402.0,(609)  822-7747
0117,Atlantic City Improvement Auth housing rehab program,14.0,,Mullica Township,"4528 White Horse Pike, Elwood 08217",,MtL,,(609) 561-7070
0117,Mullica Twp housing rehab program,39.0,,Mullica Township,"4528 White Horse Pike, Elwood 08217",,MtL,,(609) 561-7070
0117,White Horse supportive housing,4.0,special,Collaborative Support Programs of NJ,"11 Spring St, Freehold  08977",CSPNJ,HUD,8217.0,(732) 780-1175
0118,Cresson Hill,40.0,family,"Community Grants, Planning & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,8225.0,(609) 664-2769
0118,Northfield group home,3.0,special,Collaborative Support Programs of NJ,"11 Spring St, Freehold  08977",CSPNJ,HUD,8225.0,(732) 780-1175
0119,Pleasantville Housing Authority,,,Pleasantville Housing Authority,"156 N Main St, Pleasantville, NJ 08232",Pleasantville Housing Authority – Housing Excellence That is Pleasant & welcoming (pleasantvilleha.org),PHA,8232.0,(609) 646-3023
0119,1006 S Main St Apts / Pleasantville Apts,68.0,family,Oak Tree Village,,,tax credit,8232.0,(609) 641-1562
0119,105 W Decatur Av,2.0,family,Pleasantville Housing Authority,"156 N Main St, Pleasantville, NJ 08232",Pleasantville Housing Authority – Housing Excellence That is Pleasant & welcoming (pleasantvilleha.org),tax credit,8232.0,(609) 646-3023
0119,Atlantic County Independent Living Complex,5.0,special,Collaborative Support Programs of NJ,"11 Spring St, Freehold  08977",CSPNJ,HUD,8232.0,(732) 780-1175
0119,Caring Inc Senior Apts 1 ,10.0,special,Caring Inc,"407 W Delilah Rd, Pleasantville 08232",Home (caringinc.net),HUD,8232.0,(609) 484-7050
0119,Caring Inc Senior Apts 2,26.0,special,Caring Inc,"407 W Delilah Rd, Pleasantville 08232",Home (caringinc.net),HUD,8232.0,(609) 484-7050
0119,Milan & Main at City Center,67.0,family,RPM Development,"77 Park St, Montclair 07402","Milan & Main at City Center | Apartments in Pleasantville, NJ (milanandmain.com)",HMFA,8232.0,(609) 337-5985
0119,New Hope Community (for sale) / Willows at Pleasantville,71.0,family,Ingerman Properties,"5 Powell Ln, Collingswood 08108",Ingerman,PHA,8232.0,(609) 484-9214
0119,New Hope Community (rental) / Willows at Pleasantville,57.0,family,Ingerman Properties,"5 Powell Ln, Collingswood 08108",New Hope Community – Pleasantville Housing Authority (pleasantvilleha.org),PHA,8232.0,(609) 484-9214
0119,Pleasant Manor Apts,100.0,family,Community Realty Mgt,"36 S Main St, Pleasantville 08232",,HUD,8232.0,(609) 641-8136
0119,Pleasantville city center,68.0,family,RPM Development,"77 Park St, Montclair 07402",RPM Development Group,HMFA,8232.0,(609) 377-5985
0119,Pleasantville Towers,80.0,age,Pleasantville Housing Authority,,,PHA,8232.0,(609) 646-3023
0119,Pleasnatville Towers Annex,50.0,age,Pleasantville Housing Authority,,,PHA,8232.0,(609) 646-3023
0119,Residential Alternatives Inc,7.0,special,Atlantic County ARC ,"6550 Delliah Rd, ste 101, Egg Harbor Twp 08234",The Arc of Atlantic County | Serving People with Intellectual and Developmental Disabilities (thearcatlantic.org),HUD,8232.0,(609) 641-8314
0119,Village at St Peters Senior Apts,73.0,age,"Catholic Charities, Camden diocese","1845 Haddon Av, Camden 08103",Village at St. Peter’s – Diocesan Housing Services (camdendiocese.org),HUD,8232.0,(856) 342-4125
0121,Community Quest Inc / Disability Resource Ctr group home,3.0,special,Community Quest Inc,6814 Tilton Rd; Egg Harbor Twp 08234,cqinc.org,MtL,,(609) 646-0388
0121,Plus group homes 1 & 2,6.0,special,Somers Point City,"1 W New Jersey Av, Somers Point 08244","City of Somers Point, New Jersey | The Shore Starts Here (somerspointgov.org)",MtL,8244.0,(609) 927-9088
0121,Somers Point consumer house / Ventnor consumer hone,3.0,special,Collaborative Support Programs of NJ,"11 Spring St, Freehold  08977",CSPNJ,HUD,8244.0,(732) 780-1175
0121,Somers Point housing rehab ,6.0,,Somers Point City,"1 W New Jersey Av, Somers Point 08244","City of Somers Point, New Jersey | The Shore Starts Here (somerspointgov.org)",MtL,8244.0,(609) 927-9088
0121,Somers Point Village 1,117.0,family,,,,HUD,8244.0,(609) 927-0441
0121,Somers Point Village 2,107.0,family,,,,HUD,8244.0,(609) 927-0441
0122,Shalom House / Shalom Senior Towers,150.0,age,Community Realty Mgt,36 S Main St; Pleasantville 08232,"Shalom House | Ventnor City, NJ Low Income Apartments (affordablehousingonline.com)",HUD,8406.0,(609) 822-0555
0122,Waterview Condominium,198.0,family,,,WATERVIEW Condominium Association – Just another Day in Paradise! (waterviewnj.com),HMFA,8406.0,(609) 882-8194
0201,Allendale Brook Estates,9.0,family,Allendale Borough,"500 W Crescent Av, Allendale 07401","Borough Clerk | Allendale, NJ (allendalenj.gov)",MtL,7401.0,(201) 818-4400
0201,Allendale Senior Housing,16.0,age,Rainbow Property Mgt LLC,"13 Rockland Ter, ste 300 , Verona 07044",,MtL,7401.0,(973) 857-0800
0201,Saddle Dale on Elm St,3.0,family,Allendale Borough,"500 W Crescent Av, Allendale 07401","Borough Clerk | Allendale, NJ (allendalenj.gov)",MtL,7401.0,(201) 818-4400
0201,Whitney at Allendale / Garden Homes,12.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",The Whitney at Allendale | Piazza & Associates Inc. (piazzanj.com),MtL,7401.0,(609) 786-1100
0202,Alpine affordable housing,16.0,family,Bergen County Community Development,"1 Bergen County Plz,  2nd fl, Hackensack, 07601",Housing Authority of Bergen County (habcnj.org),MtL,7620.0,(201) 569-7454
0203,Bella at Bergenfield,9.0,family,"Community Grants , Planning, and Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Bella at Bergenfield - Luxury Apartments in New Jersey,MtL,7621.0,(201) 762-5700
0203,Brookside Gardens,132.0,age,Bergen County Housing Authority,"1 Bergen County Plaza, Hackensack 07631",Housing Authority of Bergen County (habcnj.org),PHA,7621.0,(201) 384-7523
0204,Alliance Against Homelessness of Bergen County,4.0,special,Alliance Against Homelessness of Bergen County,"267 Pascack Rd, Washington Township 07676",,MtL,7603.0,(201) 644-1700
0204,Atwater,42.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",The Atwater | Piazza & Associates Inc. (piazzanj.com),MtL,7603.0,(609) 786-1100
0204,Bergan & Passaic ARC group homes,5.0,special,Bergan & Passaic County ARC,"223 Moore St, Hackensack 07601",The Arc of Bergen | Passaic County NJ (arcbp.com),MtL,7603.0,(201) 343-0322
0204,Bogota housing rehab program,14.0,,Bogota Borough,"375 Larch Av, Bogota, 07603","Borough of Bogota, NJ (bogotaonline.org)",MtL,7603.0,(201) 342-1736
0204,Childrens Aid & Family Development,5.0,special,,,,MtL,7603.0,nan nan
0204,Silver Maple Garden 1,20.0,age,Bergen County Housing Authority,"1 Bergen County Plaza, Hackensack 07631",Housing Authority of Bergen County (habcnj.org),PHA,7603.0,(201) 592-8118
0204,Silver Maple Garden 2,20.0,age,Bergen County Housing Authority,"1 Bergen County Plaza, Hackensack 07631",Housing Authority of Bergen County (habcnj.org),PHA,7603.0,(201) 592-8118
0205,Bergen County home improvement program,7.0,,Carlstadt Borough,"200 Madison St, Carlstadt 07072","Welcome to Carlstadt - Borough of Carlstadt, New Jersey (carlstadtnj.us)",MtL,7072.0,(201) 939-2850
0205,Hoboken Apts,3.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",575 and 585 Hoboken Apartments | Piazza & Associates Inc. (piazzanj.com),MtL,7072.0,(609) 786-1100
0206,Cliffside Park Housing Authority,,,Cliffside Park Housing Authority,,Contact Us – Cliffside Park Housing Authority (cphousingauthority.com),PHA,7010.0,(201) 941-0655
0206,Cliffside Park housing rehab ,12.0,,Cliffside Park Borough,"525 Palisade Av, Cliffside Park 07010","BOROUGH OF CLIFFSIDE PARK, NJ (cliffsideparknj.gov)",MtL,7010.0,(201) 945-3456
0206,Riverview Tower,254.0,age,Cliffside Park Housing Authority,,Public Housing – Cliffside Park Housing Authority (cphousingauthority.com),PHA,7010.0,(201) 941-0655
0206,Terrace Tower,100.0,age,Cliffside Park Housing Authority,,CLIFFSIDE PARK SENIOR ACTIVITY CENTER (cpseniorcenter.org),PHA,7010.0,(201) 941-0655
0207,Closter group home / Vantage Health,3.0,special,Vantage Health System,"2 Park Av, Dumont 07628",Home - Vantage Health System (vantagenj.org),HUD,7624.0,(201) 385-4400
0207,Spectrum for Living 1,59.0,special,Spectrum for Living Inc,"210 Rivervale Rd, ste 3, River Vale 07675",Spectrum For Living - Serving People with Developmental Disabilities,MtL,7624.0,(201) 356-8000
0207,Spectrum for Living 2,16.0,special,Spectrum for Living Inc,"210 Rivervale Rd, ste 3, River Vale 07675",Spectrum For Living - Serving People with Developmental Disabilities,MtL,7624.0,(201) 356-8000
0208,Creskill inclusionary housing,,family,Creskill Borough,"67 Union Av, Creskill 07626",Home (cresskillboro.com),MtL,7626.0,(201) 569-5400
0208,Creskill Mews,75.0,family,Daibes Brothers Inc,"1000 Portside Dr, Edgewater 07020","Cresskill Mews | Cresskill, NJ Low Income Apartments (affordablehousingonline.com)",HMFA,7626.0,(201) 840-0050
0208,Cresskill rental housing,2.0,family,"Community Grants, Planning & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7626.0,(609) 664-2769
0208,Sunrise of Creskill / Sunrise Assisted Living,8.0,age,Sunrise of Creskill,"3 Tenakill Park E, Creskill 07626",Senior Living Communities | Sunrise Senior Living,MtL,7626.0,(201) 871-0300
0209,Alpine Country Club housing,4.0,family,Demarest Borough,"138 Serpantine Rd, Demarest 07627","Demarest, New Jersey (demarestnj.org)",MtL,7627.0,(201) 768-0167
0209,Alpine housing rehab / Bergen County rehab,1.0,,Demarest Borough,"138 Serpantine Rd, Demarest 07627","Demarest, New Jersey (demarestnj.org)",MtL,7627.0,(201) 768-0167
0210,Advance Housing Inc supportive housing,5.0,special,Advance Housing Inc,"100 Holloster Rd, Teterboro 07608",Advance Housing – Hope starts with all of us…,MtL,7628.0,(201) 489-9140
0210,Bergen County home improvement program,7.0,family,Bergen County Community Development,"One Bergen County  Plaza; 4th fl, Hackensack, 07601",Home Improvement Program (HIP) (bergen.nj.us),MtL,7628.0,(201) 336-6999
0210,Bethesda Lutheran supportive housing,4.0,special,Able Light,"600 Hoffman Dr, Watertown, WI 05304 ",AbleLight - Life Changing Services for People with Disabilities,MtL,7628.0,(201) 384-6984
0210,Community Options Housing,3.0,special,Community Options Inc,"16 Farber Rd, Princeton 08540","Community Options, Inc. (comop.org)",MtL,7628.0,(609) 951-9900
0210,David F Roche Apts / Roche Apts,100.0,age,Bergen County Housing Authority,"1 Bergen County Plaza, Hackensack 07631",Housing Authority of Bergen County (habcnj.org),PHA,8628.0,(201) 387-9107
